時間,內容,講者
09:00~09:30,報到,無
09:30~09:50,開場致詞,林院長
09:50~10:20,5G 專網與企業數位轉型的實踐之路,張教授
10:20~10:50,AI 驅動的智慧工廠無線網路架構設計,李教授
10:50~11:10,Break,無
11:10~11:40,Open RAN 生態系統的發展與挑戰,研究團隊
11:40~12:10,雲原生架構在 5G 核心網路中的應用,研究團隊
12:10~13:30,Lunch,無
13:30~14:00,毫米波通訊技術與室內定位整合應用,研究團隊
14:00~14:30,網路切片技術於醫療場域的實證研究,胡教授
14:30~14:50,Break,無
14:50~15:30,O-RAN 近即時控制器 xApp 開發實戰,研究團隊
15:30~16:00,綜合座談與交流,研究團隊
16:00~16:20,Break,無
16:20~17:00,Energy-Efficient Resource Allocation in O-RAN Architecture,賴博士
17:00~17:40,Deep Reinforcement Learning for Network Slicing Optimization,賴博士
17:40~18:10,Dinner,無
18:10~18:50,Federated Learning Approaches for Privacy-Preserving 6G Networks,陳教授
18:50~19:30,Digital Twin-Enabled Intelligent RAN Management,陳教授
19:30~20:00,Panel Discussion and Closing Remarks,研究團隊
